"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_3S10" 4475.3871886924 4075.63405514509 2099.34390880107 3769.6243992767 5345.66865428439 4428.36880198851 3075.23267875412 3952.34781302329 4446.01051689564 3957.15777218723 0 4114.07861194454 8729.86317000721 8933.39276238539 8188.14193821842 8065.50956883293 8032.05671871307 8991.87586363209 7316.26030619814 8012.50589803904 7786.57995546272 8446.75874270925 7521.90194862248 8360.74799379501 9552.1615839981 10457.618720141 8461.17946599903 9957.84150481567 9260.4757479178 10343.0790043628 7860.75555179263 9612.93100406919 8523.52945372919 10876.4310636365 8238.5060689752 9576.02612546795
"K20_3S2" 5932.51598888408 3421.25774151476 3003.15922184052 1633.47196191843 7556.65072560911 4307.97611006721 3863.29483001608 1558.42616728551 6370.28203058579 4106.44628515822 4114.07861194454 0 8256.95897104997 8296.88933941497 7455.17273990154 7024.08355450285 7941.32627099565 8193.18984492716 7373.39368236513 6987.96536643237 7958.63148595476 7850.45278982314 6860.67825305566 7039.92421362921 10041.5002876088 10697.8760996405 8821.23296263833 9454.83467769947 9596.02609752858 10715.3028458582 8251.65933886722 9082.6339226502 9040.2081495847 11007.9729264626 8408.14207982459 8999.12639128438
"K21_1M10" 8196.76085250969 7145.71060377232 8011.60419572472 8116.4369555576 9544.86129578706 7855.66507836366 8732.58299595323 7987.01937435631 8694.83950403552 7794.92456147863 8729.86317000721 8256.95897104997 0 2400.172059051 3120.92278035057 3457.11530433892 2450.77459143068 2443.53353897078 3827.1202304336 3099.49721173912 2425.28393386567 2550.12324515664 3921.59754661475 3652.85403240856 5414.71281025447 6304.67470452341 5712.62915913204 6451.39357039726 5076.8799531775 6073.85658164453 5612.71250265024 6355.28893668269 5214.03979356204 6542.5588046714 5843.61632666071 6651.24136729162
"K21_1M2" 8150.04464106781 7052.77222382132 8259.45135262152 8088.13372540416 9480.97610245499 7620.33419851666 9016.1106675057 7917.24788102247 8650.1402894735 7632.59890565845 8933.39276238539 8296.88933941497 2400.172059051 0 4313.70326487006 2929.93839023985 2820.49373593497 1285.92278957096 4470.74383045966 2900.98286358059 3074.82026147119 1160.94142296947 4585.49179925336 3451.95707133573 6310.30482816172 6711.21333722913 6548.29212443671 6999.22501590548 6053.41968140125 6500.7802778635 6393.71452073224 6778.28663545004 6022.19080953466 7063.94590766601 6517.15099489165 6998.41416154004
"K21_1S10" 8646.57995041782 7133.79047749841 7440.32196083457 7389.10481360471 10077.1982352675 7973.51875496014 7800.92070045378 7375.38690473949 9120.85440388538 7917.84819734586 8188.14193821842 7455.17273990154 3120.92278035057 4313.70326487006 0 3335.68722925325 3754.14848436014 4325.80814090541 3259.0579798462 2940.83561221279 3869.68948697115 4295.74864362118 2821.43259579741 3360.23356554676 6321.31951663472 7407.54050600998 5281.08383585791 6089.32243844408 5954.61259960629 7295.00548966596 5104.24880226394 5954.90067688415 5947.34939259329 7607.36424646527 5323.63605894676 6156.90874062134
"K21_1S2" 8185.08963010687 6500.95226839307 7363.08181496674 6790.7186626551 9640.23378908672 7314.18731109423 7893.58977184755 6745.00708203926 8664.4186895616 7300.34859809806 8065.50956883293 7024.08355450285 3457.11530433892 2929.93839023985 3335.68722925325 0 3355.2541241382 2733.23451905494 3573.95948265021 1641.34515485412 3801.87883460323 2545.55676108865 3302.42890206776 1758.70069690371 6805.02755836226 7036.02573411072 5981.59876056712 5862.34986193612 6387.85361922345 6933.50657699256 5619.84840432473 5543.51040414831 6145.06157227066 7319.31792076126 5554.87042420518 5661.80632366084
"K21_2M10" 7480.89776727358 6635.84050546751 7531.51375123271 7557.44006017947 8747.11744469905 7162.69461235623 8236.74336233565 7501.59301554385 7926.36783564318 7165.38985890161 8032.05671871307 7941.32627099565 2450.77459143068 2820.49373593497 3754.14848436014 3355.2541241382 0 2785.89497676401 2916.29408619586 3161.80123004337 1958.20235403548 2616.17194258439 3534.4937658026 3824.03668963253 5569.31547733758 6310.03220477366 5513.18980666321 6562.41957950016 5234.31613889148 6132.48199206556 5142.2186967576 6264.7309185053 4718.3208256071 6720.14495949158 5324.13666798271 6563.64372483758
"K21_2M2" 8425.82775845502 7038.65751895412 8339.90434537419 7988.30969868051 9828.05534988454 7714.45692396444 8963.08521975565 7862.09656186376 8922.37556927598 7770.13655250466 8991.87586363209 8193.18984492716 2443.53353897078 1285.92278957096 4325.80814090541 2733.23451905494 2785.89497676401 0 4404.7682330835 2964.40442033955 3397.88770020368 1224.06261323878 4240.19396004963 3098.12288141338 6435.29266206062 6431.76521476451 6668.97853714055 6617.51340721515 6075.34618102538 6346.58355455061 6435.48104399002 6361.04835495194 5973.90549269227 6678.93653655633 6397.15678708378 6593.55227961222
"K21_2S10" 7630.50546662169 6612.08362341099 6880.08401317578 6940.82757575719 8866.84905655833 7229.86506660397 7269.71010420102 7013.26892505722 8017.88145748193 7181.07913910935 7316.26030619814 7373.39368236513 3827.1202304336 4470.74383045966 3259.0579798462 3573.95948265021 2916.29408619586 4404.7682330835 0 3416.24246912912 2877.20005728194 4113.82252624764 2221.93783953857 3859.02338657372 6300.0293075763 7187.73431119613 5285.7591259062 6525.7963972041 5918.28110740106 7032.22948431885 4716.62653957615 6204.41606122709 5262.29550803015 7536.12889275661 4911.75863145325 6433.8390119191
"K21_2S2" 7817.6142367775 6375.88781866554 7160.10532847862 6711.70182990992 9255.33862976371 7086.32101382107 7954.93078004567 6627.9354174987 8337.74605370158 7071.79801907836 8012.50589803904 6987.96536643237 3099.49721173912 2900.98286358059 2940.83561221279 1641.34515485412 3161.80123004337 2964.40442033955 3416.24246912912 0 3320.23946596257 2803.56029367444 3458.54072465614 1769.77125779656 6058.6113006766 6862.95797686911 5227.30153100946 5729.16624163472 5688.04967059441 6677.62860849598 5060.55332353543 5458.18994500648 5466.75574006181 7210.1319397569 5029.81882408821 5756.30564614392
