"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV688" 10 7 7 13 10 15 3 16 3 16.5 8 13 9 20 7 6 6 10.5 4 17 16 20 24 16 2 1 2 1 4 6 2 0 1 2 5 2
"ASV689" 0 0 0 0 0 2 0 0 0 0 0 0 19 33 13 59 21 37 15 31 22 38 6 21 4 3 5 3 4 14 4 1 6 3 1 2
"ASV690" 9 4 12 21 9 11 21 9 9.5 7 21 20 4 1 4 6 2 0 2 7 1 3 7 9 11 3 7 2 3 6 8 6 5 0 2 5
"ASV691" 0 0 0 0 0 0 0 0 0 0 0 0 17 14.5 14 12 13 10 16 14 15 20 10 13 22 28 4 13 12 36 17 14 9 26 21 11
"ASV692" 13 33 9 14 26 17 11 15 15 14 9 9 3 8 6 4 1 3 10 11 12 10 8 11 7 10 12 3 2 11 0 1 2 11 2 3
"ASV693" 0 1 3 3 1 1 1 1 1 4 3 1 6 4 19 6 5 1 25 14 13 4 11 10 9 16 12 5 13 10 30 20 12 6 24 4
"ASV694" 24 5 13 9 20 11 14 11 30 21 5 10 4 6.5 3.5 5 1 8 3 5 6 3 8 10 7 10 5 2 19 5 8 3 8 3 7 5
"ASV695" 0 0 0 0 0 0 0 1 0 4 0 1 15 5 44 25 9 11 24 25 4 9.5 14 23 3 7 4 8 5 1 10 12 1 2 14 6
"ASV696" 6 3 7 0 5 3 2 2 5 4 0 1 7 6 2 2 4 6 1 19 7 8 2 4 17 22 14 11 22.5 28 13 10 13 24 10 24
"ASV697" 23.5 32 14 6 32 18 8.5 4 36 27 27 23 1 1 0 3 6 0 0 1 5 1 2 0 4 0 0 0 2 1 0 0 2 0 0 1.5
"ASV698" 0 0 0 0 0 0 0 0 0 0 0 0 22 19 23.5 26 13 19.5 41 16 28 16 32 15 0 1 1 0 2 0 3 2 4 4 2 0.5
"ASV699" 0 0 0 0 0 0 0 0 0 0 0 0 1 6 0 6 5 6 0 4 5 2 1 0 5 51 8 19 16 48 3 18 21 47.5 2 49
"ASV700" 0 0 0 0 0 0 0 0 0 0 0 0 16.5 19 15 15 16 11 10 14 27 17 18 6 8 7 9 4 8 5 6 5 3 0 0 5
"ASV701" 55 38 29 27 37 29 18 26 47 37 35 24 3 2 4 5.5 4 3 5 5 2 2 0 1 0 1 1 0 2 0 0 1 0 2 2 1
"ASV702" 0 1 0 1 4 0 1 0 0 3 1 0 0 1 0 0 0 0 5 0 0 0 0 1 32 15 62 4 29 14 32 47 31 7 10 0
"ASV705" 2 0 7 3 2 3 1 8 1 2 6 4 6 4 12 13 4 4 9 4 3 7 12 11 10 16 13 33 18 18 18 22 9 19 27.5 35
"ASV706" 7 19 8 19 6 8 6 19 18 8.5 10 8 5 6 4 3.5 6 4 3 3 5 5 2 4 3 3 5 7 3 4 9 9 7 12 3 7
"ASV707" 42 24 20 27 34.5 19 24 18 42 30.5 50 26 2 2 8 4 5 2 3 2 2 2 0 2 0 0 2 1 1 2 8 1 0 0 1 1
"ASV708" 12 12 13 9 8 11 18 8 11 11 10 11 7 8 19.5 8 3.5 4 16 8 9 4.5 15 3 3 7 13 6 5 5 10 16 25 3 10 11
"ASV709" 3 12 1 2 9 5 5 3 6 6 2 5 23 9 7.5 11 11 10 7 4 11 7 12 6 25 11 25 4 8 8 14 3 8 13 16 8
"ASV710" 108 9 22 9 16 9 25 8 25.5 14.5 17 14.5 6 5 8 6 5 1 2 6 6 3 5 3 8 1 5 2 6 3 6 9 11 9 5 4
"ASV711" 29 20 23 9 22 13 16 17 22 23 16 7 2 2 2 3 0 2 1 2 1 3 0 1 5 7 3 1 0 3 2 0 6 1 1 3
"ASV712" 16 17 8 10 14 18 5 10 14 18 11 8 5 6 2 8 12 3 20 6 5 8 4 7 0 0 0 0 2 0 0 1 0 4 1 0
"ASV713" 20.5 6 20 8 13 6 7.5 10 15.5 13 18 15 4 4 9 4 8 6 7 5 13 9 8 8 14 5 13 10 13 7 10 13 18 12 17 6
"ASV714" 0 0 0 0 0 0 0 0 0 0 0 0 7 0 7 2 1 1 0 2 9 2 2 0 25 14 13 13 28 22 12 25 11 16 25 11
"ASV715" 0 0 0 1 1 0 0 0 0 0 0 0 14 24 2 33 2 71 10 27 2 27 2 62 0 0 0 0 0 0 0 0 1 0 0 0
"ASV716" 0 0 4 1 2 1 1 1 2 0 4 1 22 36 23 19 14 21 17 13 20.5 28 19 20 4 5 1 1 6 7 2 1 1 8 2 0
"ASV717" 4 2 1 2 2 0 2 0 4 7 4 8 10 4 26 7 21 2 35 18 20 1 12 6 20 3 11 9 21 5 19 6 19 1 10 4
"ASV718" 17 26 9 20 18 33 11 11 31 36 11 12 3 4 1 3 9 4 1 4 2 2 11 0 0 0 0 0 0 0 1 1 0 0 1 2
"ASV719" 9 12 8 11 13.5 19 8 12 21 30 4 12 5 5 1 1 0 4 0 0 1 5 7 0 2 11 3 7 3 13 2 0 5 11 0 10
"ASV721" 8 3 3 1 4 3 4 5 2 4 2 3 20 2 47 2 13 4 15 8 32 2 28 9 9 1 17 5 5 1 5 2 16 2 18 0.5
"ASV722" 13 6 6 16 6 19.5 5 5 5 12 11 14 3.5 2 6 4 4 3 7 3 5 1 8 4 7 8 5 0 7 5 9 2 8 13 4 14
