"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K20_3S10" 1141.90130268873 1233.09197342351 916.961233366049 2297.93918522987 2432.64493796376 1397.32632902287 2086.51636294578 2529.45861563469 733.10515174125 1604.2858704632 0 2476.67072296933 45531.9724873267 17315.3966038192 37518.5113004778 13195.4470422071 54552.2984833039 17434.3448419383 35704.2093486222 30421.7262020441 35005.0335283363 14115.4580938191 36636.6244781918 34173.121337955 86939.633618841 64074.3524260493 86274.0738433515 52813.2080449314 80073.1523661041 67470.7060111074 77130.0713667414 66215.7984485827 79939.0751437117 67575.4791911864 77535.8435223873 64357.774165687
"K20_3S2" 1451.98804459862 1282.88164470965 1658.49073824823 245.826122186768 393.388924113517 1201.74793045432 652.109729951884 188.595884495117 1858.80942943999 919.165866737371 2476.67072296933 0 47694.3502025297 19674.6104662547 39768.8912816546 15531.1314161542 56822.3665998483 19800.103268517 37920.5881398027 32721.0156253171 37219.7041140002 16490.7622340451 38861.8611243623 36466.2403189042 89165.4366301157 66339.9027077489 88511.8607363351 55114.8558557093 82328.8801310246 69751.0787029257 79349.2101713173 68394.3510769959 82154.1534869757 69831.4995034034 79759.7398964375 66583.8878016698
"K21_1M10" 46344.7583283952 46621.6166514665 46190.0112202998 47492.3610674115 47487.112223572 46586.7192617191 47093.7236975987 47695.5239861177 45971.6302322502 46899.8371181751 45531.9724873267 47694.3502025297 0 30848.3852177825 10402.8976601698 33626.185951278 16856.1529569359 30180.772128977 11593.1851956843 21927.6965768837 10890.864393262 33064.1413728325 9713.77639920568 23085.0425117842 42659.6875172881 34677.6452747258 43184.0552941343 23463.2673723246 38311.6759211662 37403.077344143 34583.8483227641 37729.7665313136 38465.7407153261 38239.7170463526 35704.8448449159 32772.0119478712
"K21_1M2" 18304.1075066522 18452.7179315536 18097.9565909864 19480.6889512076 19590.8381660597 18544.6840210736 19219.7157961639 19718.9471683654 17897.3815260659 18810.8236215311 17315.3966038192 19674.6104662547 30848.3852177825 0 21776.7461328125 4749.2968658398 38488.8245673009 2228.05459563401 20271.430426941 13767.1215645641 20325.6346151279 3577.26711363072 21650.1462060764 17628.2607120893 71373.6572056297 48856.6707496427 70851.8754362216 37012.6587541577 64072.996260661 52059.4487772016 61604.2651315233 51964.7368918564 64439.6102876029 52304.949206079 62142.9962653726 49682.1419744575
"K21_1S10" 38400.6597067112 38639.4913846003 38223.4459385418 39567.1486608441 39600.4249478741 38636.7609799416 39204.9797741671 39784.0753747112 38007.1436759761 38943.7611476364 37518.5113004778 39768.8912816546 10402.8976601698 21776.7461328125 0 24914.1952628823 19475.5198226296 21347.93087571 3285.23527327469 11902.0770840584 5993.34785179292 24374.8969742426 5349.30933960633 13398.9923294505 50775.6984743948 35730.0189879302 50700.5502004035 23000.4049039585 44784.1267164386 38670.7245969897 41911.3861887456 39213.1179340884 45012.8186983946 39299.5150287185 42605.3527321577 35210.0710200934
"K21_1S2" 14154.8382257734 14329.0280379333 13957.0456400498 15336.2919143122 15428.3198213119 14398.4396040851 15049.3613347914 15569.1885240217 13751.7917346106 14675.9631944037 13195.4470422071 15531.1314161542 33626.185951278 4749.2968658398 24914.1952628823 0 42002.9095393904 5173.69812388942 23250.6799571485 17443.5393452041 23014.9642880131 2629.89166894677 24447.0401793543 21332.755709926 74860.6319804252 52650.6756931489 74207.2102414662 40796.7775189241 67952.351129055 55922.8286292341 65188.2140722228 55303.7419002185 67881.5639459067 56137.6656944312 65534.1872648174 53033.89943718
"K21_2M10" 55451.8780605429 55677.6023606235 55276.6433069242 56627.3280033224 56665.1831873439 55712.4278901288 56286.4973099069 56838.9994837947 55067.5854606502 55997.2162242957 54552.2984833039 56822.3665998483 16856.1529569359 38488.8245673009 19475.5198226296 42002.9095393904 0 38025.616675139 20758.7963691253 27208.3355031364 22506.1946880154 41259.1784103043 21051.1624186816 25909.3396203907 37081.7678427898 29192.1728064622 37655.7565594675 20257.604752575 30837.1255737366 30597.3613053008 29756.6147025009 33970.6145700815 32846.436901362 31775.6369162844 31056.5568308873 29388.0883826489
"K21_2M2" 18419.751525123 18580.4306704866 18210.4610333523 19603.3453684712 19703.9451808289 18655.4212305279 19324.3658220732 19840.2038170286 18006.3657553424 18932.1376539653 17434.3448419383 19800.103268517 30180.772128977 2228.05459563401 21347.93087571 5173.69812388942 38025.616675139 0 19770.4573003832 14101.2215821497 19583.3887554442 3618.68916963912 20940.7099493304 18149.9807389932 70808.2447541124 48517.3870507352 70357.2234065589 36674.394686544 63520.9843771593 51763.416212285 61065.2298060203 51608.988809777 64095.7543565372 52056.2837002396 61738.151072457 49291.9068079478
"K21_2S10" 36559.0380625963 36810.7537049088 36395.0612365145 37720.4050955986 37739.2077363794 36809.0990989489 37351.5780071114 37929.8984748819 36180.2325778093 37109.3535986818 35704.2093486222 37920.5881398027 11593.1851956843 20271.430426941 3285.23527327469 23250.6799571485 20758.7963691253 19770.4573003832 0 11598.9331095007 5111.26651761823 22746.7842212417 4836.75298995927 13677.9498900815 52447.7500015086 37118.7249847747 52510.669059093 24296.5126046191 46293.8761347033 40115.8402877048 43464.6240422301 40553.2709659023 46705.6079818641 40687.5873435309 44338.9329096607 36689.9475750327
"K21_2S2" 31375.2325433929 31542.8257071788 31178.2976565792 32532.8905677908 32622.1342010539 31617.8668724652 32251.9326490276 32758.0017648645 30978.1073436962 31886.1919314684 30421.7262020441 32721.0156253171 21927.6965768837 13767.1215645641 11902.0770840584 17443.5393452041 27208.3355031364 14101.2215821497 11598.9331095007 0 13853.0073729174 17051.540665532 14184.2215582415 5239.01705530576 60650.4004597851 39882.9400445246 59962.3664996932 27306.6259505877 53585.4659174506 42711.0060505685 51397.1743769493 43481.1261911174 53597.0566090465 43148.3436212057 51543.6812961216 40651.5214089271
