"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV64" 0 0 0 0 0 4 0 0 0 3 0 0 0 3 0 0 0 1 1 0 0 1 0 2 0 0 0 0 0 3260 18 0 0 52 1 0
"ASV69" 2 13 9 9 1 4 6 4 13 2 4 2 8 1 1 6 30 1404 26 0 2 16 39 11 16 184 42 114 0 134 38 64 30 165 23 99
"ASV73" 63 125 92 54 20 65 35 35 63 63 61 47 39 83 52 106 74 104 23 78 258 150 302 143 61 67 70 45 114 60 57 109 15 57 20 19
"ASV72" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 52 756 68 45 425 329 234 9 13 259 1 2
"ASV75" 13 15 82 39 11 56 8 11 32 48 66 36 443 25 36 0 11 152 27 43 62 116 381 269 95 1 1 0 35 7 68 0 0 12 32 33
"ASV86" 1 0 2 1 0 0 1 0 0 2 0 0 10 15 0 0 12 38 5 43 1 27 18 91 161 351 79 114 57 145 38 160 47 175 81 131
"ASV80" 0 7 9 7 0 1 20 9 3 0 0 1 75 1 89 32 1 37 68 65 5 40 60 261 124 153 67 92 49 18 20 134 52 69 42 82
"ASV104" 2 4 1 1 0 5 0 3 0 8 12 6 23 3 9 12 14 8 1 7 0 4 13 70 285 18 25 116 152 43 519 40 28 52 38 86
"ASV96" 26 82 86 52 22 25 29 25 45 29 250 69 26 20 63 32 12 19 0 37 75 5 21 37 17 215 52 20 18 12 31 13 21 62 38 36
"ASV106" 19 12 30 38 26 11 14 35 9 8 29 4 0 36 31 38 18 42 12 0 149 22 99 24 109 286 112 22 117 7 38 82 70 8 153 57
