"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "Species" "lowest"
"ASV96" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "Mucor_racemosus" "s__Mucor_racemosus"
"ASV106" "Fungi" "Basidiomycota" "Tremellomycetes" "Cystofilobasidiales" "Mrakiaceae" "Tausonia" "Tausonia_pullulans" "s__Tausonia_pullulans"
"ASV103" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV107" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Thermothielavioides" "Thermothielavioides_terrestris" "s__Thermothielavioides_terrestris"
"ASV101" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinellus" "unclassified" "g__Coprinellus"
"ASV100" "Fungi" "Ascomycota" "Dothideomycetes" "Cladosporiales" "Cladosporiaceae" "Cladosporium" "Cladosporium_herbarum" "s__Cladosporium_herbarum"
"ASV149" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV102" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Saccharomycetales_fam_Incertae_sedis" "Diutina" "Diutina_rugosa" "s__Diutina_rugosa"
"ASV114" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV123" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "unclassified" "unclassified" "f__Didymellaceae"
"ASV122" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Microascus" "unclassified" "g__Microascus"
"ASV121" "Fungi" "Ascomycota" "Dothideomycetes" "Cladosporiales" "Cladosporiaceae" "Cladosporium" "Cladosporium_herbarum" "s__Cladosporium_herbarum"
"ASV133" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Rhizopodaceae" "Rhizopus" "Rhizopus_arrhizus" "s__Rhizopus_arrhizus"
"ASV137" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "unclassified" "g__Talaromyces"
"ASV195" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV126" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV124" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV131" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "unclassified" "g__Coprinopsis"
"ASV130" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV151" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Cephalotrichum" "Cephalotrichum_telluricum" "s__Cephalotrichum_telluricum"
"ASV145" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Microascus" "Microascus_gracilis" "s__Microascus_gracilis"
"ASV146" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Gondwanamycetaceae" "Custingophora" "Custingophora_olivacea" "s__Custingophora_olivacea"
"ASV143" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV152" "Fungi" "Ascomycota" "Dothideomycetes" "Cladosporiales" "Cladosporiaceae" "Cladosporium" "Cladosporium_halotolerans" "s__Cladosporium_halotolerans"
"ASV159" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV171" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "unclassified" "g__Talaromyces"
"ASV168" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV164" "Fungi" "Ascomycota" "Sordariomycetes" "Glomerellales" "Plectosphaerellaceae" "Acrostalagmus" "Acrostalagmus_luteoalbus" "s__Acrostalagmus_luteoalbus"
