"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "Species" "lowest"
"ASV1417" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Petriella" "Petriella_musispora" "s__Petriella_musispora"
"ASV1422" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "unclassified" "unclassified" "f__Didymellaceae"
"ASV1425" "Fungi" "Ascomycota" "Dothideomycetes" "Dothideales" "Dothideales_fam_Incertae_sedis" "unclassified" "unclassified" "f__Dothideales_fam_Incertae_sedis"
"ASV1426" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Bulleribasidiaceae" "Vishniacozyma" "Vishniacozyma_victoriae" "s__Vishniacozyma_victoriae"
"ASV1427" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV1430" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Sporormiaceae" "Sporormiella" "Sporormiella_intermedia" "s__Sporormiella_intermedia"
"ASV1431" "Fungi" "Basidiomycota" "Microbotryomycetes" "Sporidiobolales" "unclassified" "unclassified" "Sporidiobolales_sp" "s__Sporidiobolales_sp"
"ASV1432" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Torulaceae" "Torula" "Torula_fici" "s__Torula_fici"
"ASV1434" "Fungi" "Ascomycota" "Taphrinomycetes" "Taphrinales" "Taphrinaceae" "Taphrina" "Taphrina_carpini" "s__Taphrina_carpini"
"ASV1436" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Debaryomycetaceae" "Meyerozyma" "unclassified" "g__Meyerozyma"
"ASV1437" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Thermoascaceae" "Thermoascus" "Thermoascus_aurantiacus" "s__Thermoascus_aurantiacus"
"ASV1438" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV1446" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV1448" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1450" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV1451" "Fungi" "Ascomycota" "Leotiomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Leotiomycetes"
"ASV1452" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Saccharomycetaceae" "Kluyveromyces" "Kluyveromyces_marxianus" "s__Kluyveromyces_marxianus"
"ASV1459" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "unclassified" "unclassified" "unclassified" "o__Hypocreales"
"ASV1461" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "Trichoderma_ghanense" "s__Trichoderma_ghanense"
"ASV1462" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV1466" "Fungi" "Chytridiomycota" "Spizellomycetes" "Spizellomycetales" "Spizellomycetaceae" "Gaertneriomyces" "Gaertneriomyces_semiglobifer" "s__Gaertneriomyces_semiglobifer"
"ASV1468" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "unclassified" "unclassified" "unclassified" "o__Hypocreales"
"ASV1469" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "Mucor_mucedo" "s__Mucor_mucedo"
"ASV1476" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Mycothermus" "Mycothermus_thermophilus" "s__Mycothermus_thermophilus"
"ASV1486" "Fungi" "Neocallimastigomycota" "Neocallimastigomycetes" "Neocallimastigales" "Neocallimastigaceae" "Khoyollomyces" "Khoyollomyces_ramosus" "s__Khoyollomyces_ramosus"
"ASV1487" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "unclassified" "g__Coprinopsis"
"ASV1489" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV1494" "Fungi" "Ascomycota" "Sordariomycetes" "Cephalothecales" "Cephalothecaceae" "Cryptendoxyla" "Cryptendoxyla_hypophloia" "s__Cryptendoxyla_hypophloia"
"ASV1495" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Polyporaceae" "Trametes" "Trametes_versicolor" "s__Trametes_versicolor"
"ASV1498" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricales_fam_Incertae_sedis" "Clitocybe" "Clitocybe_nebularis" "s__Clitocybe_nebularis"
"ASV1504" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "unclassified" "g__Aspergillus"
"ASV1826" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Neopyrenochaetaceae" "Neopyrenochaeta" "unclassified" "g__Neopyrenochaeta"
"ASV1827" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV1835" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Talaromyces_bacillisporus" "s__Talaromyces_bacillisporus"
"ASV1836" "Fungi" "Basidiomycota" "Agaricomycetes" "Thelephorales" "Thelephoraceae" "Tomentella" "Tomentella_ellisii" "s__Tomentella_ellisii"
"ASV1838" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV1841" "Fungi" "Ascomycota" "Dothideomycetes" "Botryosphaeriales" "Botryosphaeriaceae" "unclassified" "unclassified" "f__Botryosphaeriaceae"
"ASV1844" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Wojnowiciella" "unclassified" "g__Wojnowiciella"
"ASV1847" "Fungi" "Ascomycota" "Laboulbeniomycetes" "Pyxidiophorales" "unclassified" "unclassified" "Pyxidiophorales_sp" "s__Pyxidiophorales_sp"
"ASV1850" "Fungi" "Basidiomycota" "Exobasidiomycetes" "Doassansiales" "Rhamphosporaceae" "Rhamphospora" "Rhamphospora_nymphaeae" "s__Rhamphospora_nymphaeae"
"ASV1851" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV1855" "Fungi" "Basidiomycota" "Ustilaginomycetes" "Urocystidales" "Urocystidaceae" "Urocystis" "unclassified" "g__Urocystis"
"ASV1856" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Roussoellaceae" "unclassified" "unclassified" "f__Roussoellaceae"
"ASV1861" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "unclassified" "g__Trichoderma"
"ASV1864" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "Neptunomyces" "Neptunomyces_aureus" "s__Neptunomyces_aureus"
"ASV1871" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1872" "Fungi" "Basidiomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Basidiomycota"
"ASV1873" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV1876" "Fungi" "Ascomycota" "Sordariomycetes" "Glomerellales" "Plectosphaerellaceae" "unclassified" "unclassified" "f__Plectosphaerellaceae"
"ASV1877" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV1879" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Stephanosporaceae" "Myriococcum" "Myriococcum_sp" "s__Myriococcum_sp"
"ASV1882" "Fungi" "Basidiomycota" "Agaricomycetes" "Boletales" "Paxillaceae" "Melanogaster" "Melanogaster_broomeanus" "s__Melanogaster_broomeanus"
"ASV1883" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "unclassified" "unclassified" "f__Didymosphaeriaceae"
"ASV1889" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "Mucor_mucedo" "s__Mucor_mucedo"
"ASV1893" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV1898" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1901" "Fungi" "Ascomycota" "Sordariomycetes" "Glomerellales" "Plectosphaerellaceae" "unclassified" "unclassified" "f__Plectosphaerellaceae"
"ASV1902" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "Chrysosporium" "Chrysosporium_minutisporosum" "s__Chrysosporium_minutisporosum"
"ASV1904" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Saccharomycetaceae" "Kluyveromyces" "Kluyveromyces_hubeiensis" "s__Kluyveromyces_hubeiensis"
"ASV1907" "Fungi" "Ascomycota" "Sordariomycetes" "Amphisphaeriales" "Apiosporaceae" "Nigrospora" "unclassified" "g__Nigrospora"
"ASV1911" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV1913" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "unclassified" "unclassified" "f__Didymellaceae"
"ASV1918" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV1921" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "unclassified" "unclassified" "unclassified" "o__Helotiales"
"ASV1923" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascales_fam_Incertae_sedis" "Cephalotrichiella" "Cephalotrichiella_penicillata" "s__Cephalotrichiella_penicillata"
"ASV1928" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "unclassified" "unclassified" "unclassified" "o__Agaricales"
"ASV1933" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "Coniochaeta_ligniaria" "s__Coniochaeta_ligniaria"
"ASV1935" "Fungi" "Basidiomycota" "Microbotryomycetes" "Microbotryales" "Ustilentylomataceae" "Ustilentyloma" "Ustilentyloma_brefeldii" "s__Ustilentyloma_brefeldii"
"ASV1936" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizales_fam_Incertae_sedis" "unclassified" "Pezizales_sp" "s__Pezizales_sp"
"ASV1942" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1943" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV1945" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Microdochiaceae" "Microdochium" "Microdochium_nivale" "s__Microdochium_nivale"
"ASV1946" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV1949" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Sagenomella" "Sagenomella_oligospora" "s__Sagenomella_oligospora"
"ASV1950" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1952" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Psathyrella" "Psathyrella_kellermanii" "s__Psathyrella_kellermanii"
"ASV1953" "Fungi" "Basidiomycota" "Tremellomycetes" "Filobasidiales" "Filobasidiaceae" "Filobasidium" "unclassified" "g__Filobasidium"
"ASV1958" "Fungi" "Basidiomycota" "Agaricomycetes" "Trechisporales" "Hydnodontaceae" "Trechispora" "Trechispora_sp" "s__Trechispora_sp"
"ASV1959" "Fungi" "Basidiomycota" "Microbotryomycetes" "Leucosporidiales" "Leucosporidiaceae" "Leucosporidium" "Leucosporidium_intermedium" "s__Leucosporidium_intermedium"
"ASV1961" "Fungi" "Ascomycota" "Eurotiomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Eurotiomycetes"
"ASV1962" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "unclassified" "unclassified" "f__Didymellaceae"
"ASV1963" "Fungi" "Ascomycota" "Sordariomycetes" "Xenospadicoidales" "Xenospadicoidaceae" "Spadicoides" "Spadicoides_bina" "s__Spadicoides_bina"
"ASV1965" "Fungi" "Basidiomycota" "Agaricomycetes" "Boletales" "Paxillaceae" "Melanogaster" "Melanogaster_broomeanus" "s__Melanogaster_broomeanus"
"ASV1972" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV836" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Saccharomycetales_fam_Incertae_sedis" "Candida" "Candida_tropicalis" "s__Candida_tropicalis"
"ASV837" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV839" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Teichosporaceae" "Pseudocyclothyriella" "Pseudocyclothyriella_clematidis" "s__Pseudocyclothyriella_clematidis"
"ASV840" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Sclerotiniaceae" "Botrytis" "Botrytis_caroliniana" "s__Botrytis_caroliniana"
"ASV846" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Entolomataceae" "Clitopilus" "Clitopilus_baronii" "s__Clitopilus_baronii"
"ASV851" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV853" "Fungi" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Fungi"
"ASV856" "Fungi" "Basidiomycota" "Tremellomycetes" "Trichosporonales" "Trichosporonaceae" "Apiotrichum" "Apiotrichum_scarabaeorum" "s__Apiotrichum_scarabaeorum"
"ASV860" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizales_fam_Incertae_sedis" "unclassified" "Pezizales_sp" "s__Pezizales_sp"
"ASV864" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "Chrysosporium" "Chrysosporium_jingzhouense" "s__Chrysosporium_jingzhouense"
"ASV872" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "unclassified" "g__Coniochaeta"
"ASV874" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Sordariaceae" "unclassified" "unclassified" "f__Sordariaceae"
"ASV877" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV881" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Cephalotrichum" "unclassified" "g__Cephalotrichum"
"ASV888" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Neopyrenochaetaceae" "Neopyrenochaeta" "Neopyrenochaeta_acicola" "s__Neopyrenochaeta_acicola"
"ASV895" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Helotiales_fam_Incertae_sedis" "Tetracladium" "Tetracladium_sp" "s__Tetracladium_sp"
"ASV896" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV898" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Trichomeriaceae" "Lithohypha" "Lithohypha_aloicola" "s__Lithohypha_aloicola"
"ASV899" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV901" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV903" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV905" "Fungi" "Ascomycota" "Eurotiomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Eurotiomycetes"
"ASV912" "Fungi" "Neocallimastigomycota" "Neocallimastigomycetes" "Neocallimastigales" "Neocallimastigaceae" "Khoyollomyces" "Khoyollomyces_ramosus" "s__Khoyollomyces_ramosus"
"ASV914" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV917" "Fungi" "Basidiomycota" "Tremellomycetes" "Trichosporonales" "Trichosporonaceae" "Apiotrichum" "unclassified" "g__Apiotrichum"
"ASV1464" "Fungi" "Ascomycota" "Leotiomycetes" "Thelebolales" "Pseudeurotiaceae" "Pseudogymnoascus" "Pseudogymnoascus_roseus" "s__Pseudogymnoascus_roseus"
"ASV920" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV921" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "unclassified" "unclassified" "f__Didymosphaeriaceae"
"ASV922" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Stachybotryaceae" "unclassified" "unclassified" "f__Stachybotryaceae"
"ASV924" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Kernia" "unclassified" "g__Kernia"
"ASV928" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Neosetophoma" "unclassified" "g__Neosetophoma"
"ASV933" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Talaromyces_radicus" "s__Talaromyces_radicus"
"ASV935" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "unclassified" "g__Fusarium"
"ASV937" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV941" "Fungi" "Ascomycota" "Leotiomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Leotiomycetes"
"ASV944" "Fungi" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Fungi"
"ASV947" "Fungi" "Chytridiomycota" "Rhizophydiomycetes" "Rhizophydiales" "Operculomycetaceae" "Operculomyces" "Operculomyces_laminatus" "s__Operculomyces_laminatus"
"ASV948" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Lycoperdaceae" "Lycoperdon" "unclassified" "g__Lycoperdon"
"ASV951" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "unclassified" "unclassified" "f__Phaeosphaeriaceae"
"ASV952" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "unclassified" "unclassified" "f__Bionectriaceae"
"ASV955" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "Chrysosporium" "Chrysosporium_lobatum" "s__Chrysosporium_lobatum"
"ASV966" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "unclassified" "unclassified" "f__Bionectriaceae"
"ASV967" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "unclassified" "g__Mucor"
"ASV1003" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "unclassified" "g__Arthrobotrys"
"ASV977" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV978" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "Aspergillus_terreus" "s__Aspergillus_terreus"
"ASV984" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "Cephalotrichum" "Cephalotrichum_lignatile" "s__Cephalotrichum_lignatile"
"ASV986" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV992" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "Acremonium" "Acremonium_polychromum" "s__Acremonium_polychromum"
"ASV993" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "unclassified" "g__Talaromyces"
"ASV2479" "Fungi" "Ascomycota" "Dothideomycetes" "Mycosphaerellales" "Dissoconiaceae" "Globoramichloridium" "Globoramichloridium_indicum" "s__Globoramichloridium_indicum"
"ASV2480" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV2482" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "unclassified" "unclassified" "f__Phaeosphaeriaceae"
"ASV2483" "Fungi" "Basidiomycota" "Agaricomycetes" "Russulales" "Bondarzewiaceae" "Heterobasidion" "unclassified" "g__Heterobasidion"
"ASV2485" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Aspergillus" "Aspergillus_teporis" "s__Aspergillus_teporis"
"ASV2494" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Xylariaceae" "Nemania" "unclassified" "g__Nemania"
"ASV2495" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Talaromyces_assiutensis" "s__Talaromyces_assiutensis"
"ASV2498" "Fungi" "Basidiomycota" "Microbotryomycetes" "Microbotryomycetes_ord_Incertae_sedis" "Microbotryomycetes_fam_Incertae_sedis" "Sampaiozyma" "Sampaiozyma_sp" "s__Sampaiozyma_sp"
"ASV2500" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV2502" "Fungi" "Basidiomycota" "Agaricomycetes" "Boletales" "Paxillaceae" "Melanogaster" "Melanogaster_broomeanus" "s__Melanogaster_broomeanus"
"ASV2504" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Stephanosporaceae" "Myriococcum" "Myriococcum_sp" "s__Myriococcum_sp"
"ASV2508" "Fungi" "Ascomycota" "Sordariomycetes" "Ophiostomatales" "Ophiostomataceae" "Sporothrix" "unclassified" "g__Sporothrix"
"ASV2509" "Fungi" "Basidiomycota" "Ustilaginomycetes" "Urocystidales" "Urocystidaceae" "Urocystis" "unclassified" "g__Urocystis"
"ASV2513" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "unclassified" "unclassified" "unclassified" "o__Agaricales"
"ASV2519" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV2520" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Ganodermataceae" "Ganoderma" "Ganoderma_adspersum" "s__Ganoderma_adspersum"
"ASV2527" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "Acremonium" "unclassified" "g__Acremonium"
"ASV2528" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV2529" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV2534" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "Chrysosporium" "Chrysosporium_lobatum" "s__Chrysosporium_lobatum"
"ASV2544" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV2545" "Fungi" "Basidiomycota" "Malasseziomycetes" "Malasseziales" "Malasseziaceae" "Malassezia" "Malassezia_restricta" "s__Malassezia_restricta"
"ASV2550" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV2551" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Neopyrenochaetaceae" "Neopyrenochaeta" "unclassified" "g__Neopyrenochaeta"
"ASV2554" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV2555" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Microascaceae" "unclassified" "unclassified" "f__Microascaceae"
"ASV2556" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Rhynchogastremaceae" "Papiliotrema" "unclassified" "g__Papiliotrema"
"ASV2557" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV2561" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Periconiaceae" "Periconia" "unclassified" "g__Periconia"
"ASV2574" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV2577" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV2578" "Fungi" "Basidiomycota" "Microbotryomycetes" "Sporidiobolales" "Sporidiobolaceae" "Rhodotorula" "unclassified" "g__Rhodotorula"
"ASV2582" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "unclassified" "unclassified" "f__Lentitheciaceae"
"ASV2583" "Fungi" "Ascomycota" "Dothideomycetes" "Botryosphaeriales" "Botryosphaeriaceae" "Diplodia" "unclassified" "g__Diplodia"
"ASV2586" "Fungi" "Basidiomycota" "Tremellomycetes" "Trichosporonales" "Trichosporonaceae" "Apiotrichum" "unclassified" "g__Apiotrichum"
"ASV2587" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV2588" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Gymnoascaceae" "Arachniotus" "Arachniotus_hebridensis" "s__Arachniotus_hebridensis"
"ASV2594" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unclassified" "unclassified" "f__Chaetomiaceae"
"ASV2603" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV2607" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "unclassified" "unclassified" "unclassified" "o__Hypocreales"
"ASV2608" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "unclassified" "g__Trichoderma"
"ASV2158" "Fungi" "Basidiomycota" "Tremellomycetes" "Filobasidiales" "Piskurozymaceae" "Solicoccozyma" "Solicoccozyma_terricola" "s__Solicoccozyma_terricola"
