"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV55" 12 2 3 6 2 1 3 5 9 5 1 1 106 97 54 67 27 48.5 5 43 60 93 28 15 87 567 251 133 162 75 225 229 157 195 73 336
"ASV58" 64 101 66 42 45 29 50 29 166.5 115 297.5 16 129 224 66 81 151 169 129 66 106 100 123 280 2 79 12 54 50 25 44 36 14 47 10 0
"ASV57" 6 2 3 1 1 3 2 4 1 1 6 1 471 125 229 7 27 116 6 75 170 45.5 23 1 1 1 25 21 23 0 15 739.5 349 456 14 87
"ASV61" 173 124 120 70 101 117 78.5 55 165 79 167 74 53 84 79 59 53 55 51 60 61 48 24 80 86.5 0 85 65 141 197 77 60 18 43 92 38.5
"ASV64" 0 0 0 0 0 3 0 0 0 2 0 0 0 2 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 2450.5 16 0 0 40 1 0
"ASV69" 2 9 5 6 1 3 4 3 8.5 2 3 1 7 1 1 4 24.5 962 19 0 2 13 33 8 15 152 42 94.5 0 101 33 53 21 125 18 78
"ASV73" 48 87 55.5 37 14 47 23 21 41 46 42.5 30 32 63 44 75.5 59 70.5 17 58 229 123 251 98 55 55.5 70 38 88 45.5 49 90 10 44 16 15
"ASV72" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 47 622.5 68 38 326 249 202 8 9 196 1 2
"ASV75" 10 10 49 26 8 40 5 6 21 35.5 45 23 365.5 19 30 0 9 104 20 31 55 95 317 185 86 1 1 0 27 5 58 0 0 9 25 26.5
"ASV86" 1 0 1 1 0 0 1 0 0 2 0 0 8 11 0 0 10 26 4 31 1 22 15 62 145 288 79 96 43 110 33 131 32 133 64 104.5
"ASV80" 0 5 5 5 0 1 13 5 2 0 0 1 63 1 75 23 1 26 49 48 5 33 50 179 112 126 67 77 37 14 17 110 36 53 33 65
"ASV104" 2 3 1 1 0 4 0 2 0 6 8 4 19 2 8 9 11 6 1 5 0 4 11 48.5 256 15 25 96 116 33 443 33 19 40 30 67
"ASV96" 20 57 51 35 16 18 19 15 28 22 173 44 21 15 52 23 10 14 0 27.5 67 4 17 25 16 178 52 17 14 9 27 11 14 47 30 29
"ASV106" 15 8 18 26 19 8 9 22 6 6 20 3 0 27 27 28 14 29 8 0 133 18 83 16 98 236 112 19 89.5 5 33 68 48 6 122 46
"ASV103" 10 1 1 1 0 0 1 0 1 8 0 1 19 2 19 56 9 6 11 10 22 10 3 64 140 213 92 27 106 140 41 30 43 115 15 42
"ASV107" 0 1 2 0 0 0 0 1 2 0 9 0 16 30 23 11 3 26 19 23 34.5 40 13 31.5 24 148.5 85 77 56 73 36 84 38.5 32 7 30
"ASV101" 0 0 1 1 2 0 0 0 2 1 2 0 2 91 13 22 2 0 0 60 4 13 0 19 543 0 103 2 14 145 143 7 49 0 48 17
"ASV100" 32.5 18 24 12 6 10 10.5 1 12 8 55 3 32 0 16 7 7 27.5 26 72.5 114 12 51 7 64 31 25 33 32 21 32 146.5 0 36 27 6
"ASV149" 5 19 25 5 10 0 3 1 6 20 4 4 34 44 45 69 7 49 0 34 52 92 17 59 113.5 42 34 21 41 88 10 12 14 56 33 25
"ASV102" 3 5 21 15.5 12 6 26 29 28 13 45 27 50 29 40 30 32 33 2 30 38 43 43 1 6 38 101 3 2 5 69 16 5 2 2 14
"ASV114" 36 41 93 20 16 90 27 27 50.5 28 89 35 2 38 27 0 25 1 20 8 19 3 48 51 24 0 5 0 1 8 6 0 5 1 73 0
"ASV123" 5 5 102.5 0 4 0 1 9 5 0 0 0 32 1 44 0 123 77.5 8 0 28 7 123 0 0 0 22 1 35 11 0 0 0 0 184 0
"ASV122" 0 2 0 1 0 4 0 0 0 0 1 1 24 1 10 28 20 21 1 6 13 18 34 8 57 92 40 9 40 8 404 7 7 31 10 21
"ASV121" 8 15 17 1 0 4 0 9 13 8 3 18 12 2 13 24 66 12 11 3 21 3 10 61 262 11 33 41 59 6 6 7 7 53 10 38
"ASV133" 78 34 28 4 12 20 22 36 28 19 40 30 60 0 3 2 0 30 23 114 10 29 20 64.5 2 1 0 3 1 1 0 32 3 0 3 20
"ASV137" 5 0 1 4 13 0 6 5 5 2 1 12 37 48 44 0 4 43 0 8 5 10 34 10 9 20 62 86 106.5 3 11 42 15 10 47.5 79
"ASV195" 9 1 10 1 1 1 2 3 1.5 7 1 8 59 18 42.5 16 18 9 3 17 3 43.5 36 4 17 80 15 36 56 32 37 27 24.5 64 84 27
"ASV126" 24 17.5 59 20 14 35 12 35 7 8 45 40 13 5 7 14 26 0 25 15 81.5 44 32 41 45 0 24 0 55 7 11 82 15 6 20 19
"ASV124" 0 0 0 0 1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 2 0 0 1 38 8 20 34.5 426 5 33 5 94 5 51
"ASV131" 16 4 7 2 3 9 3 1 54 2 11 15 1 2 0 2 3 1 2 1 3 1 3 2 3 39 17 41 3 117 1 24 0 413.5 21 66
"ASV130" 21 24 19 28 8.5 57.5 38 22 36 19 31 28 3 1 1 0 37 0 1.5 0 31 0 67 31 17 12 54 1 52 42 0 0 0 0 10 10
"ASV151" 0 1 0 0 0 0 0 0 1 0 4 0 0 1 1 2 0 1.5 0 0 1 0 2 0 7 86 4 57 127 177 65 19 8 92 0 25
"ASV145" 0 1 0 0 1 1 0 0 0 3 0 1 32 8.5 26 34 34 84 2 62.5 22 42 48 10 37 24 77 12 39 44 52 17 39 21 21 28
"ASV146" 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 13 42 1 58.5 57 271 7 15 1 161 26 61
"ASV143" 20 33 24 17 13 9 0 4 28 11 112 10 38 25 17 34 0 10 37 11 4 1 23 19 9 0 1 6 101 16 19 1 20.5 0 0 29
"ASV152" 0 10 0 2 0 2 1 0 0 1 0 0 0 1 1 0 0 4 0 0 0 0 2 0 0 0 0 0 0 179 4 412.5 1 34 1 0
"ASV159" 55 49 29 8 10 30 28 12 40 28 73 20 32 9 6 1 0 0 7 1 84 10 1 51 1 0 2 1 38 5 22 0 32 0 22 8
"ASV171" 3 5 0 10 0 0 0 0 0 4 0 4 0 12 0 6 7 2 37 4 2 36 0 2 34 116 73 14 68 40 1 7 8 84 21 7
"ASV168" 35 61 29.5 5 15 42 25 14 38 30 68 20 0 5 3 2 16 0 0 13 18 7 13 23 3 24 21 0 23 0 2 0 0 0 0 0
"ASV164" 5 3 2 0 2 2 0 3 2 1 0 4 4 0 18 0 12 25 5 2 46 0 13 16 52 27 40 35 52 36 3 12 18 47 23 43
"ASV174" 9 10 0 5 0 12 5 0 4 6 4 5 4 5 13 34 0 7 2 0 24 1 26 12 34 148 1 3 0 3 0 0 0 1 3 42
"ASV1016" 0 1 1 0 0 0 1 0 7.5 0 3 3 0 10 7 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"ASV1019" 0 2 0 0 0 0 0 1 0 0 0 0 0 2 5 0 0 0 14.5 0 0 3 0 0 0 10 0 0 0 0 0 0 0 2 0 0
"ASV1022" 0 0 0 0 0 0 0 5 4 0 3 0 0 0 0 5 0 0 2 0 0 0 0 2 2 22 11 0 0 0 0 0 1 2 1 1
"ASV1025" 0 0 2 0 5 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 1 0 10 0 0 0 15 0
"ASV1026" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 29 0 13 0 0 0 0 0 0 0
"ASV1028" 0 0 2 0 0 0 1 4 2 0 1.5 1 1 2 0 1 2 2 0 1 3 1 21 0 0 2 7 0 0 0 9 0 0 0 0 0
"ASV1031" 0 1 2 0 0 0 4 0 0 0 0 0 16 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1036" 0 0 0 0 0 0 0 0 0 1 2 0 0 0 3 0 0 1 0 2 12 0 0 0 0 1 3 0 0 0 13 0 0 6 0 0
"ASV1313" 0 0 0 0 0 8 1 0 0 0 1 1 0 0 3 0 12 0 5 2 0 0 0 0 2 4 4 0 1 0 1 0 0 0 0 5
"ASV1041" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1042" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1 0 0 0 0 15 0 0 0 0 1 0 0 0 0 19
"ASV1045" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0
"ASV1046" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 10 0 0 0 0 0
"ASV1047" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0
"ASV1049" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"ASV1050" 0 0 1 0 0 0 1 0 0 0 1 1 0 9 0 0 0 1 11 8 0 0 7 1 10 0 0 2 26 0 1 15 1 28 8 0
"ASV1052" 0 4 0 0 0 0 2 1 5 1 16 7 12 0 2 0 0 0 0 8 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ASV1057" 0 0 0 2 0 5 0 1 0 8 3 1 0 0 0 0 0 15 0 10 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 1
"ASV1067" 0 0 0 0 6 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0
"ASV1073" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.5 0 0 1 25 3 0 6 0 0 10 0 0
"ASV1074" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0
"ASV1075" 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0
"ASV1078" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 39.5
"ASV1081" 7 0 0 6 0 0 0 2 18 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 9
"ASV1083" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1099" 2 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 8 21 7 0 0 0 0 0 6 0 0 0 0 0 0 0
"ASV1100" 0 0 0 0 1 0 0 0 0 0 0 0 12 0 0 7 0 0 0 0 11 0 0 8 0 0 1 0 0 0 0 0 7 0 1 0
"ASV1102" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0
