"","sobs.F","shannon.F","invsimpson.F","evenness.F","sobs.B","shannon.B","invsimpson.B","evenness.B"
"K20_1M10",178.09,0.320055407661949,1.08554448688264,0.0617594667455707,2484.52,5.30780606165068,40.3521288523241,0.678935565149558
"K20_1M2",195.86,0.31883687951004,1.08230960261105,0.0604155213482639,2335.55,5.0841773730674,29.0637162041369,0.655515163844404
"K20_1S10",201.38,0.337225679080486,1.09122456048886,0.0635651966782016,2351.76,5.06426591231775,29.4616236645718,0.65236617060519
"K20_1S2",141.54,0.218997475666642,1.05556109432633,0.044218845771919,2197.8,4.87085160048388,25.8004151497353,0.632971711824534
"K20_2M10",167.69,0.207355869114205,1.05280516369327,0.0404824543496584,2479.16,5.37868693526253,48.1721914040253,0.68819224003549
"K20_2M2",166.42,0.288307906519126,1.0785158174299,0.0563705302791849,2336.43,5.0454127274655,31.2121387494075,0.650485550763071
"K20_2S10",183.07,0.234771512445083,1.06162382648721,0.0450628472173306,2334.94,4.9871437551173,25.5613093402057,0.643026043601115
"K20_2S2",160.92,0.202056740145704,1.05002438291103,0.0397678458478019,2267.1,4.89911818992487,25.9787647575199,0.634086898955752
"K20_3M10",208.71,0.35237568484807,1.09619458410855,0.0659762713859659,2510.35,5.32772210154827,42.192928311718,0.680582693176869
"K20_3M2",179.58,0.275729789770388,1.07258719243597,0.053120773192207,2343.5,5.1052952498784,32.3139262726053,0.657949675502595
"K20_3S10",228,0.40805967309102,1.11293638122509,0.075158168401521,2377.8,5.13049600847041,31.1829495419073,0.659961611268367
"K20_3S2",170.27,0.209135182452602,1.05120102061694,0.040708486061118,2288.31,4.87314075199176,23.6446669658003,0.629965404910955
"K21_1M10",205.72,1.68126233169512,2.91423782767076,0.315640152981071,2768.86,5.16384426859207,27.5261253054088,0.651491276612942
"K21_1M2",203.26,1.29320866964347,1.70679753767253,0.243336548890641,2618.67,5.04580528543907,27.5572652328316,0.641109891144999
"K21_1S10",219.68,1.67285929983134,2.72202752848381,0.310238493471476,2639.36,5.08646976146678,25.3335566949625,0.645631048926764
"K21_1S2",189.89,1.07021076534497,1.51985428861537,0.203987800136746,2529.19,5.00844384537876,26.2884809407569,0.639186417288597
"K21_2M10",203.94,2.02090806219988,4.54218708012272,0.380025244468018,2759.8,5.20946359794607,30.3747540841682,0.657518677062104
"K21_2M2",204.74,1.29734068931718,1.71174363239921,0.243781258465472,2575.91,5.02854539317363,26.1116058029088,0.640256199224783
"K21_2S10",153.06,1.52201422016092,2.5343850229712,0.302537398350349,2550.69,5.14046995940275,29.6489048796988,0.655327874938041
"K21_2S2",202.4,1.64089275681567,2.40832759298185,0.309005039720434,2387.02,4.98034430918528,27.0599422603535,0.640328070359436
"K21_3M10",234.41,1.64773491439573,2.46215228149229,0.301944888993539,2788.58,5.28792441090324,33.5527277552429,0.666548920753437
"K21_3M2",219.94,1.16767939431671,1.56874633961325,0.216503353022343,2634.52,5.09855307730985,28.0820592504711,0.647315606827317
"K21_3S10",251.24,1.68669854627685,2.59316524219672,0.305206988983975,2539.87,5.07010731123554,24.6604301693919,0.646708234932001
"K21_3S2",192.09,1.835928334409,2.69767139139396,0.349170958597192,2367.62,4.87051674695178,24.0105663564115,0.62686513495531
"K22_1M10",198.47,2.33322812723637,4.32657075516081,0.441010733864577,2748.87,5.1756405319499,35.6142335245056,0.653577010967314
"K22_1M2",180.01,2.39887853110486,5.78288574205337,0.461943539522481,2710.39,5.02629244625841,30.471621977673,0.63584936281088
"K22_1S10",270,2.32301679491242,4.67966780095859,0.414941355247191,2591.4,5.12353613499194,33.8329763195786,0.651853233346001
"K22_1S2",187.5,2.25338766034614,4.76192986912426,0.430546977032121,2474.71,4.80150259081146,24.8739813268031,0.614483907448908
"K22_2M10",243.5,2.43000545920207,5.5471761489829,0.442211782682559,2702.91,5.17774279476,34.4661849417758,0.655237609642438
"K22_2M2",170.79,2.49163472846982,6.86732355712001,0.484712842113883,2753.02,5.09895214222475,32.6403195329373,0.643770204377744
"K22_2S10",247.48,2.12432665338659,4.7424992405201,0.385447204537557,2623,5.17328937834922,34.1208956799604,0.657169812120681
"K22_2S2",168.51,2.08960693498948,4.4976484338296,0.40756952097355,2484.53,4.80317075615374,24.9997633724145,0.614386007147826
"K22_3M10",189.47,2.0419500143897,4.71642193995604,0.38937074490999,2751.44,5.23702481122077,36.2372626980172,0.661250551299421
"K22_3M2",182.17,2.44088918070453,6.31328680374677,0.468956228510869,2687.76,4.98778577904007,27.9806135702457,0.631648057977015
"K22_3S10",216.05,2.1675384731692,4.86972701670605,0.403224722614564,2641.72,5.05742189064208,31.285684911234,0.641871154218789
"K22_3S2",191.92,2.13677077908586,4.89949514020968,0.406455930020457,2615.9,4.88181669495325,24.7339065618373,0.620357250484035
