"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV691" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "Vicinamibacteraceae_insertae_sedis_genus" "g__Vicinamibacteraceae_insertae_sedis_genus"
"ASV692" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "unclassified" "f__Paenibacillaceae"
"ASV693" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Microtrichales" "Ilumatobacteraceae" "Desertimonas" "g__Desertimonas"
"ASV694" "Bacteria" "Bacillota" "Bacilli" "Haloplasmatales" "Haloplasmataceae" "Haloplasma" "g__Haloplasma"
"ASV695" "Bacteria" "Chloroflexota" "Anaerolineae" "Caldilineales" "Caldilineaceae" "Litorilinea" "g__Litorilinea"
"ASV696" "Bacteria" "Bacillota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Bacillota"
"ASV697" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV698" "Bacteria" "Myxococcota" "Polyangiia" "Haliangiales" "Haliangiaceae" "Haliangiaceae_insertae_sedis_genus" "g__Haliangiaceae_insertae_sedis_genus"
"ASV699" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Chitinophagaceae_insertae_sedis_genus" "g__Chitinophagaceae_insertae_sedis_genus"
"ASV700" "Bacteria" "Planctomycetota" "Planctomycetes" "Gemmatales" "Gemmataceae" "Gemmataceae_insertae_sedis_genus" "g__Gemmataceae_insertae_sedis_genus"
"ASV701" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Bacillaceae_insertae_sedis_genus" "g__Bacillaceae_insertae_sedis_genus"
"ASV702" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV705" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "Aggregatilineaceae" "Aggregatilinea" "g__Aggregatilinea"
"ASV706" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Hyphomicrobiaceae" "Filomicrobium" "g__Filomicrobium"
