"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV6545" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Thermomonosporaceae" "Actinomadura" "g__Actinomadura"
"ASV6549" "Bacteria" "Bacillota" "D8A-2" "D8A-2_insertae_sedis_order" "D8A-2_insertae_sedis_family" "D8A-2_insertae_sedis_genus" "g__D8A-2_insertae_sedis_genus"
"ASV6551" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV6554" "Bacteria" "Chloroflexota" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "unclassified" "f__Roseiflexaceae"
"ASV6556" "Bacteria" "Rhodothermota" "Rhodothermia" "Rhodothermales" "Rhodothermaceae" "Rhodothermus" "g__Rhodothermus"
"ASV6558" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV6559" "Bacteria" "Bacillota" "Clostridia" "Peptostreptococcales-Tissierellales" "Family_XI" "Tepidimicrobium" "g__Tepidimicrobium"
"ASV6564" "Bacteria" "Bacillota" "Desulfotomaculia" "Desulfotomaculales" "Desulfotomaculaceae" "Desulfotomaculum" "g__Desulfotomaculum"
"ASV6566" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "unclassified" "unclassified" "unclassified" "c__Alphaproteobacteria"
"ASV6568" "Bacteria" "Bacillota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Bacillota"
"ASV6572" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Bryobacterales" "Bryobacteraceae" "Bryobacter" "g__Bryobacter"
"ASV6574" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV6575" "Bacteria" "Actinomycetota" "Actinobacteria" "Euzebyales" "Euzebyaceae" "Euzebyaceae_insertae_sedis_genus" "g__Euzebyaceae_insertae_sedis_genus"
"ASV6576" "Bacteria" "Gemmatimonadota" "Longimicrobiia" "Longimicrobiales" "Longimicrobiaceae" "Longimicrobiaceae_insertae_sedis_genus" "g__Longimicrobiaceae_insertae_sedis_genus"
"ASV6580" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "unclassified" "unclassified" "unclassified" "c__Alphaproteobacteria"
"ASV6583" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV6588" "Bacteria" "Bacillota" "Clostridia" "unclassified" "unclassified" "unclassified" "c__Clostridia"
"ASV6591" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV6594" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "unclassified" "unclassified" "o__Streptosporangiales"
"ASV6595" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV6596" "Bacteria" "Chloroflexota" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "unclassified" "f__Roseiflexaceae"
"ASV6597" "Bacteria" "Bacillota" "Desulfotomaculia" "Desulfotomaculales" "Desulfurisporaceae" "Desulfocucumis" "g__Desulfocucumis"
"ASV6599" "Bacteria" "Bacillota" "Clostridia" "Lachnospirales" "Defluviitaleaceae" "Defluviitalea" "g__Defluviitalea"
"ASV6602" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV6603" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "g__Pseudomonas"
"ASV6604" "Bacteria" "Gemmatimonadota" "Gemmatimonadia" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonadaceae_insertae_sedis_genus" "g__Gemmatimonadaceae_insertae_sedis_genus"
"ASV6605" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Rhodocyclaceae" "Thauera" "g__Thauera"
"ASV6606" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "WD2101_soil_group" "WD2101_soil_group_insertae_sedis_genus" "g__WD2101_soil_group_insertae_sedis_genus"
"ASV6608" "Bacteria" "Bacillota" "Bacilli" "Brevibacillales" "Brevibacillaceae" "Brevibacillus" "g__Brevibacillus"
"ASV6610" "Bacteria" "Chloroflexota" "Anaerolineae" "unclassified" "unclassified" "unclassified" "c__Anaerolineae"
"ASV6611" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "MND1" "g__MND1"
"ASV6613" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV6617" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Hyphomicrobiaceae" "unclassified" "f__Hyphomicrobiaceae"
"ASV6621" "Bacteria" "Candidatus_Kryptonia" "Kryptonia" "Kryptoniales" "MSB-3C8" "MSB-3C8_insertae_sedis_genus" "g__MSB-3C8_insertae_sedis_genus"
"ASV6622" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "MND1" "g__MND1"
"ASV6625" "Bacteria" "Myxococcota" "Polyangiia" "Nannocystales" "Nannocystaceae" "Nannocystaceae_insertae_sedis_genus" "g__Nannocystaceae_insertae_sedis_genus"
"ASV6626" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiia" "Pedosphaerales" "Pedosphaeraceae" "Pedosphaeraceae_insertae_sedis_genus" "g__Pedosphaeraceae_insertae_sedis_genus"
"ASV6627" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV6628" "Bacteria" "Chloroflexota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Chloroflexota"
"ASV6629" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV6639" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Polyangiaceae" "Pajaroellobacter" "g__Pajaroellobacter"
"ASV6640" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "unclassified" "f__Pirellulaceae"
"ASV6642" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV6649" "Bacteria" "Acidobacteriota" "Acidobacteriae" "Solibacterales" "Solibacteraceae" "Candidatus_Solibacter" "g__Candidatus_Solibacter"
"ASV6650" "Bacteria" "Actinomycetota" "Thermoleophilia" "Solirubrobacterales" "67-14" "67-14_insertae_sedis_genus" "g__67-14_insertae_sedis_genus"
"ASV6652" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" "YM_S32_TM7_50_20" "YM_S32_TM7_50_20_insertae_sedis_genus" "g__YM_S32_TM7_50_20_insertae_sedis_genus"
"ASV6653" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "unclassified" "unclassified" "unclassified" "c__Alphaproteobacteria"
"ASV6657" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "Acetivibrio" "g__Acetivibrio"
"ASV6658" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Thermogutta" "g__Thermogutta"
"ASV6659" "Bacteria" "Bacillota" "Bacillota_insertae_sedis_class" "Bacillota_insertae_sedis_order" "Bacillota_insertae_sedis_family" "Bacillota_insertae_sedis_genus" "g__Bacillota_insertae_sedis_genus"
"ASV6662" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Pir4_lineage" "g__Pir4_lineage"
"ASV6664" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus" "g__Bacillus"
"ASV6665" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolinea" "g__Anaerolinea"
"ASV6666" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Bacillaceae_insertae_sedis_genus" "g__Bacillaceae_insertae_sedis_genus"
"ASV6676" "Bacteria" "Chloroflexota" "Anaerolineae" "SJA-15" "SJA-15_insertae_sedis_family" "SJA-15_insertae_sedis_genus" "g__SJA-15_insertae_sedis_genus"
"ASV6677" "Bacteria" "Myxococcota" "Myxococcia" "Myxococcales" "Myxococcaceae" "unclassified" "f__Myxococcaceae"
"ASV5628" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Steroidobacterales" "Steroidobacteraceae" "unclassified" "f__Steroidobacteraceae"
"ASV5637" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Amb-16S-1323" "Amb-16S-1323_insertae_sedis_genus" "g__Amb-16S-1323_insertae_sedis_genus"
"ASV5638" "Bacteria" "Chloroflexota" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "unclassified" "f__Roseiflexaceae"
"ASV5642" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "unclassified" "unclassified" "unclassified" "c__Alphaproteobacteria"
"ASV5644" "Bacteria" "Bacillota" "Bacilli" "Bacilli_insertae_sedis_order" "Bacilli_insertae_sedis_family" "Bacilli_insertae_sedis_genus" "g__Bacilli_insertae_sedis_genus"
"ASV5648" "Bacteria" "Bacillota" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "g__Clostridium"
"ASV5649" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "unclassified" "unclassified" "o__Hyphomicrobiales"
"ASV5653" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV5654" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "unclassified" "f__Paenibacillaceae"
"ASV5658" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Enterobacterales" "Aeromonadaceae" "Aeromonas" "g__Aeromonas"
"ASV5660" "Bacteria" "Patescibacteria" "Parcubacteria" "Candidatus_Moranbacteria" "Candidatus_Moranbacteria_insertae_sedis_family" "Candidatus_Moranbacteria_insertae_sedis_genus" "g__Candidatus_Moranbacteria_insertae_sedis_genus"
"ASV5662" "Bacteria" "Bacillota" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "g__Clostridium"
"ASV5663" "Bacteria" "Chloroflexota" "JG30-KF-CM66" "JG30-KF-CM66_insertae_sedis_order" "JG30-KF-CM66_insertae_sedis_family" "JG30-KF-CM66_insertae_sedis_genus" "g__JG30-KF-CM66_insertae_sedis_genus"
"ASV5669" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Saprospiraceae" "Saprospiraceae_insertae_sedis_genus" "g__Saprospiraceae_insertae_sedis_genus"
"ASV5670" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "Phycisphaeraceae_insertae_sedis_genus" "g__Phycisphaeraceae_insertae_sedis_genus"
"ASV5671" "Bacteria" "Bacillota" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "g__Clostridium"
"ASV5672" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Streptosporangiaceae" "Thermopolyspora" "g__Thermopolyspora"
"ASV5673" "Bacteria" "Cyanobacteriota" "Sericytochromatia" "Sericytochromatia_insertae_sedis_order" "Sericytochromatia_insertae_sedis_family" "Sericytochromatia_insertae_sedis_genus" "g__Sericytochromatia_insertae_sedis_genus"
"ASV5674" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "Thermomicrobiaceae" "Sphaerobacter" "g__Sphaerobacter"
"ASV5678" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "JG30-KF-CM45" "JG30-KF-CM45_insertae_sedis_genus" "g__JG30-KF-CM45_insertae_sedis_genus"
"ASV5680" "Bacteria" "Actinomycetota" "Actinobacteria" "unclassified" "unclassified" "unclassified" "c__Actinobacteria"
"ASV5681" "Bacteria" "WS4" "WS4_insertae_sedis_class" "WS4_insertae_sedis_order" "WS4_insertae_sedis_family" "WS4_insertae_sedis_genus" "g__WS4_insertae_sedis_genus"
"ASV5682" "Bacteria" "Bacillota" "Symbiobacteriia" "Symbiobacteriales" "Symbiobacteraceae" "Symbiobacterium" "g__Symbiobacterium"
"ASV5683" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" "Saccharimonadales_insertae_sedis_family" "Saccharimonadales_insertae_sedis_genus" "g__Saccharimonadales_insertae_sedis_genus"
"ASV5686" "Bacteria" "Bacillota" "Dethiobacteria" "Dethiobacterales" "Dethiobacteraceae" "Dethiobacteraceae_insertae_sedis_genus" "g__Dethiobacteraceae_insertae_sedis_genus"
"ASV5692" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV5697" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV5699" "Bacteria" "Ignavibacteriota" "Ignavibacteria" "Ignavibacteriales" "unclassified" "unclassified" "o__Ignavibacteriales"
"ASV5702" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV5705" "Bacteria" "Chloroflexota" "Anaerolineae" "RBG-13-54-9" "RBG-13-54-9_insertae_sedis_family" "RBG-13-54-9_insertae_sedis_genus" "g__RBG-13-54-9_insertae_sedis_genus"
"ASV5708" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV5712" "Bacteria" "Bacillota" "Moorellia" "Desulfitibacterales" "Desulfitibacteraceae" "Desulfitibacter" "g__Desulfitibacter"
"ASV5714" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Caulobacter" "g__Caulobacter"
"ASV5718" "Bacteria" "Bacillota" "Clostridia" "Peptostreptococcales-Tissierellales" "Proteiniboraceae" "Proteiniborus" "g__Proteiniborus"
"ASV5719" "Bacteria" "Chloroflexota" "OLB14" "OLB14_insertae_sedis_order" "OLB14_insertae_sedis_family" "OLB14_insertae_sedis_genus" "g__OLB14_insertae_sedis_genus"
"ASV5720" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV5727" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "Thermomicrobiaceae" "Sphaerobacter" "g__Sphaerobacter"
"ASV5729" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Devosiaceae" "Devosia" "g__Devosia"
"ASV5730" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV5742" "Bacteria" "Actinomycetota" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "unclassified" "f__Microbacteriaceae"
"ASV5744" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Terrimonas" "g__Terrimonas"
"ASV5747" "Bacteria" "Bacillota" "D8A-2" "D8A-2_insertae_sedis_order" "D8A-2_insertae_sedis_family" "D8A-2_insertae_sedis_genus" "g__D8A-2_insertae_sedis_genus"
"ASV5750" "Bacteria" "Ignavibacteriota" "Ignavibacteria" "Ignavibacteriales" "PHOS-HE36" "PHOS-HE36_insertae_sedis_genus" "g__PHOS-HE36_insertae_sedis_genus"
"ASV5752" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "Pseudobacteroides" "g__Pseudobacteroides"
"ASV5755" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "Ruminiclostridium" "g__Ruminiclostridium"
"ASV5756" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "Aggregatilineales_insertae_sedis_family" "Aggregatilineales_insertae_sedis_genus" "g__Aggregatilineales_insertae_sedis_genus"
"ASV5757" "Bacteria" "Bacillota" "Bacilli" "Brevibacillales" "Brevibacillaceae" "Brevibacillus" "g__Brevibacillus"
"ASV5761" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Gallionellaceae" "unclassified" "f__Gallionellaceae"
"ASV5762" "Bacteria" "Bacillota" "Bacilli" "Aneurinibacillales" "Aneurinibacillaceae" "Aneurinibacillus" "g__Aneurinibacillus"
"ASV5766" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV5769" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "unclassified" "f__Paenibacillaceae"
"ASV5770" "Bacteria" "Chloroflexota" "Anaerolineae" "Ardenticatenales" "Ardenticatenaceae" "Ardenticatenaceae_insertae_sedis_genus" "g__Ardenticatenaceae_insertae_sedis_genus"
"ASV5772" "Bacteria" "Bacillota" "Bacilli" "Brevibacillales" "Brevibacillaceae" "Brevibacillus" "g__Brevibacillus"
"ASV5775" "Bacteria" "Patescibacteria" "Parcubacteria" "Parcubacteria_insertae_sedis_order" "Parcubacteria_insertae_sedis_family" "Parcubacteria_insertae_sedis_genus" "g__Parcubacteria_insertae_sedis_genus"
"ASV5776" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "A4b" "A4b_insertae_sedis_genus" "g__A4b_insertae_sedis_genus"
"ASV5781" "Bacteria" "Planctomycetota" "OM190" "OM190_insertae_sedis_order" "OM190_insertae_sedis_family" "OM190_insertae_sedis_genus" "g__OM190_insertae_sedis_genus"
"ASV5782" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "unclassified" "f__Paenibacillaceae"
"ASV5783" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV5787" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV5788" "Bacteria" "Bacillota" "Bacilli" "Aneurinibacillales" "Aneurinibacillaceae" "Aneurinibacillus" "g__Aneurinibacillus"
"ASV5791" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "g__Pseudomonas"
"ASV5796" "Bacteria" "Bacteroidota" "Bacteroidia" "Bacteroidales" "Marinilabiliaceae" "Ruminofilibacter" "g__Ruminofilibacter"
"ASV5798" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "Vicinamibacteraceae_insertae_sedis_genus" "g__Vicinamibacteraceae_insertae_sedis_genus"
"ASV5800" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Microtrichales" "unclassified" "unclassified" "o__Microtrichales"
"ASV5801" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Thermomonosporaceae" "Actinomadura" "g__Actinomadura"
"ASV5804" "Bacteria" "Rhodothermota" "Rhodothermia" "Rhodothermales" "Rhodothermaceae" "Rhodothermaceae_insertae_sedis_genus" "g__Rhodothermaceae_insertae_sedis_genus"
"ASV5806" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV5807" "Bacteria" "Patescibacteria" "Parcubacteria" "Candidatus_Nomurabacteria" "Candidatus_Nomurabacteria_insertae_sedis_family" "Candidatus_Nomurabacteria_insertae_sedis_genus" "g__Candidatus_Nomurabacteria_insertae_sedis_genus"
"ASV5808" "Bacteria" "Chloroflexota" "Dehalococcoidia" "S085" "S085_insertae_sedis_family" "S085_insertae_sedis_genus" "g__S085_insertae_sedis_genus"
"ASV5809" "Bacteria" "Myxococcota" "Myxococcia" "Myxococcales" "Vulgatibacteraceae" "Vulgatibacter" "g__Vulgatibacter"
"ASV5810" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Limnobacter" "g__Limnobacter"
"ASV5812" "Bacteria" "Bacteroidota" "Bacteroidia" "Bacteroidales" "Dysgonomonadaceae" "Proteiniphilum" "g__Proteiniphilum"
"ASV5814" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV5815" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Polyangiaceae" "Pajaroellobacter" "g__Pajaroellobacter"
"ASV5816" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV5817" "Bacteria" "Rhodothermota" "Rhodothermia" "Rhodothermales" "Rhodothermaceae" "Rhodothermus" "g__Rhodothermus"
"ASV5820" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV5821" "Bacteria" "Myxococcota" "Polyangiia" "mle1-27" "mle1-27_insertae_sedis_family" "mle1-27_insertae_sedis_genus" "g__mle1-27_insertae_sedis_genus"
"ASV5823" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Polyangiaceae" "Sorangium" "g__Sorangium"
"ASV5824" "Bacteria" "Bacillota" "Clostridia" "Clostridiales" "Oxobacteraceae" "Oxobacter" "g__Oxobacter"
"ASV5833" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV5834" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV5835" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV5837" "Bacteria" "Gemmatimonadota" "Gemmatimonadia" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonadaceae_insertae_sedis_genus" "g__Gemmatimonadaceae_insertae_sedis_genus"
"ASV5838" "Bacteria" "Bacillota" "Desulfitobacteriia" "Desulfitobacteriales" "Desulfitobacteriales_insertae_sedis_family" "Desulfitobacteriales_insertae_sedis_genus" "g__Desulfitobacteriales_insertae_sedis_genus"
"ASV5840" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV5844" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV5847" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV5848" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV5849" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "Thermoclostridium" "g__Thermoclostridium"
"ASV5850" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV5854" "Bacteria" "Actinomycetota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" "Saccharopolyspora" "g__Saccharopolyspora"
"ASV5855" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV5859" "Bacteria" "Patescibacteria" "Parcubacteria" "Candidatus_Kaiserbacteria" "Candidatus_Kaiserbacteria_insertae_sedis_family" "Candidatus_Kaiserbacteria_insertae_sedis_genus" "g__Candidatus_Kaiserbacteria_insertae_sedis_genus"
"ASV5861" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "unclassified" "f__Oscillospiraceae"
"ASV5864" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "Vicinamibacteraceae_insertae_sedis_genus" "g__Vicinamibacteraceae_insertae_sedis_genus"
"ASV5866" "Bacteria" "Bacillota" "Syntrophomonadia" "Syntrophomonadales" "Syntrophomonadaceae" "Syntrophomonas" "g__Syntrophomonas"
"ASV1836" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" "g__Paenibacillus"
"ASV1839" "Bacteria" "Planctomycetota" "Planctomycetes" "Planctomycetales" "Rubinisphaeraceae" "Planctomicrobium" "g__Planctomicrobium"
"ASV1841" "Bacteria" "Chloroflexota" "Anaerolineae" "unclassified" "unclassified" "unclassified" "c__Anaerolineae"
"ASV1842" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" "Saccharimonadales_insertae_sedis_family" "Saccharimonadales_insertae_sedis_genus" "g__Saccharimonadales_insertae_sedis_genus"
"ASV1844" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV1845" "Bacteria" "Bacillota" "Moorellia" "Desulfitibacterales" "Desulfitibacteraceae" "Desulfitibacter" "g__Desulfitibacter"
"ASV1846" "Bacteria" "Chloroflexota" "Anaerolineae" "Caldilineales" "Caldilineaceae" "Caldilineaceae_insertae_sedis_genus" "g__Caldilineaceae_insertae_sedis_genus"
"ASV1847" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "Oscillospiraceae_insertae_sedis_genus" "g__Oscillospiraceae_insertae_sedis_genus"
"ASV1849" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Microtrichales" "Ilumatobacteraceae" "Ilumatobacteraceae_insertae_sedis_genus" "g__Ilumatobacteraceae_insertae_sedis_genus"
